序号,公司名称,链接,板块,状态,地区,行业,保荐机构,律师事务所,会计师事务所,受理日期,更新日期
73,上海百英生物科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003392,创业板,终止(撤回),上海,研究和试验发展,"
               海通证券 
                               
          ",北京国枫律师事务所,致同会计师事务所（特殊普通合伙）,2024/7/5,2023/6/29
74,联纲光电科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002503,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",广东华商律师事务所,容诚会计师事务所（特殊普通合伙）,2024/7/5,2023/6/28
75,广东富强科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003382,主板,终止(撤回),广东,汽车制造业,"
               中信证券 
                               
          ",北京市中伦律师事务所,天健会计师事务所（特殊普通合伙）,2024/7/4,2023/6/20
76,东莞汇乐技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003289,创业板,终止(撤回),广东,专用设备制造业,"
               国金证券 
                               
          ",北京市环球律师事务所,立信会计师事务所（特殊普通合伙）,2024/7/4,2023/6/28
77,朝阳微电子科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003302,主板,终止(撤回),辽宁,计算机、通信和其他电子设备制造业,"
               长江承销 
                               
          ",北京市康达律师事务所,大华会计师事务所（特殊普通合伙）,2024/7/3,2023/6/15
78,苏州湘园新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002425,创业板,终止(撤回),江苏,化学原料和化学制品制造业,"
               民生证券 
                               
          ",国浩律师（上海）事务所,天职国际会计师事务所（特殊普通合伙）,2024/7/3,2022/9/28
79,安徽马鞍山农村商业银行股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002988,主板,终止(撤回),安徽,货币金融服务,"
               中信证券 
                               
          ",上海市锦天城律师事务所,立信会计师事务所（特殊普通合伙）,2024/7/2,2023/3/3
80,湖南恒昌医药集团股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001733,创业板,终止(撤回),湖南,批发业,"
               海通证券 
                               
          ",湖南启元律师事务所,天职国际会计师事务所（特殊普通合伙）,2024/7/2,2022/1/19
81,浙江祥邦科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003275,创业板,终止(撤回),浙江,橡胶和塑料制品业,广发证券,上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2024/7/2,2023/5/25
82,深圳市志橙半导体材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003406,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               国泰君安 
                               
          ",北京市金杜律师事务所,天职国际会计师事务所（特殊普通合伙）,2024/7/1,2023/6/26
