序号,公司名称,链接,板块,状态,地区,行业,保荐机构,律师事务所,会计师事务所,受理日期,更新日期
144,合诚技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003037,主板,终止(撤回),广东,批发业,"
               中信证券 
                               
          ",北京市中伦律师事务所,天健会计师事务所（特殊普通合伙）,2024/5/24,2023/3/3
145,湖北香江电器股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002977,主板,终止(撤回),湖北,电气机械和器材制造业,"
               国金证券 
                               
          ",北京市中伦律师事务所,立信会计师事务所（特殊普通合伙）,2024/5/22,2023/3/1
146,苏州威达智科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003500,创业板,终止(撤回),江苏,专用设备制造业,"
               华泰联合 
                               
          ",上海市锦天城律师事务所,容诚会计师事务所（特殊普通合伙）,2024/5/21,2023/6/30
147,浙江伟星光学股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003490,创业板,终止(撤回),浙江,专用设备制造业,"
               国投证券 
                               
          ",浙江天册律师事务所,天健会计师事务所（特殊普通合伙）,2024/5/20,2023/6/30
148,南京长江都市建筑设计股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002831,主板,终止(撤回),江苏,专业技术服务业,"
               长江承销 
                               
          ",江苏世纪同仁律师事务所,立信会计师事务所（特殊普通合伙）,2024/5/19,2023/2/27
149,东实汽车科技集团股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003198,主板,终止(撤回),湖北,汽车制造业,"
               国新证券 
                               
          ",北京国枫律师事务所,信永中和会计师事务所（特殊普通合伙）,2024/5/17,2023/5/25
150,香河昆仑新能源材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003350,创业板,终止(撤回),河北,计算机、通信和其他电子设备制造业,"
               中金公司 
                               
          ",北京市金杜律师事务所,致同会计师事务所（特殊普通合伙）,2024/5/17,2023/6/16
151,深圳深蕾科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003487,主板,终止(撤回),广东,批发业,中信证券,北京市君合律师事务所,中汇会计师事务所（特殊普通合伙）,2024/5/16,2023/6/30
152,广东铭基高科电子股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003279,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               国信证券 
                               
          ",北京市金杜律师事务所,天职国际会计师事务所（特殊普通合伙）,2024/5/15,2023/5/26
153,深圳市飞速创新技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003001,主板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               招商证券 
                               
          ",北京市中伦律师事务所,德勤华永会计师事务所（特殊普通合伙）,2024/5/11,2023/3/1
154,安徽唐兴装备科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003374,创业板,终止(撤回),安徽,专用设备制造业,"
               国元证券 
                               
          ",安徽天禾律师事务所,容诚会计师事务所（特殊普通合伙）,2024/5/8,2023/6/28
155,深圳市景创科技电子股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001500,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",北京市中伦律师事务所,容诚会计师事务所（特殊普通合伙）,2024/5/7,2021/6/17
156,东莞六淳智能科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001577,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               华西证券 
                               
          ",北京市万商天勤律师事务所,天健会计师事务所（特殊普通合伙）,2024/5/2,2021/6/30
157,苏州华一新能源科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002354,创业板,终止(撤回),江苏,化学原料和化学制品制造业,"
               国盛证券 
                               
          ",上海市锦天城律师事务所,大华会计师事务所（特殊普通合伙）,2024/4/30,2022/6/30
158,广东高义包装科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003483,主板,终止(撤回),广东,造纸和纸制品业,"
               中信证券 
                               
          ",北京德恒律师事务所,立信会计师事务所（特殊普通合伙）,2024/4/30,2023/6/29
159,潍柴雷沃智慧农业科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002629,创业板,终止(撤回),山东,专用设备制造业,"
               中金公司 
                               
          ",北京市通商律师事务所,安永华明会计师事务所（特殊普通合伙）,2024/4/29,2023/3/23
160,四川众邦新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003477,创业板,终止(撤回),四川,化学原料和化学制品制造业,"
               华西证券 
                               
          ",国浩律师（深圳）事务所,信永中和会计师事务所（特殊普通合伙）,2024/4/26,2023/6/28
161,保定维赛新材料科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002921,主板,终止(撤回),河北,橡胶和塑料制品业,光大证券,国浩律师（上海）事务所,天职国际会计师事务所（特殊普通合伙）,2024/4/24,2023/3/1
162,广州市儒兴科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003385,主板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",北京市中伦律师事务所,天健会计师事务所（特殊普通合伙）,2024/4/23,2023/6/26
163,广东优巨先进新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002257,创业板,终止(撤回),广东,化学原料和化学制品制造业,"
               海通证券 
                               
          ",广东华商律师事务所,致同会计师事务所（特殊普通合伙）,2024/4/19,2022/6/24
164,深圳市科通技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002356,创业板,终止(撤回),广东,批发业,"
               华泰联合 
                               
          ",广东信达律师事务所,大信会计师事务所（特殊普通合伙）,2024/4/17,2022/6/30
165,青岛科凯电子研究所股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003347,创业板,终止(撤回),山东,计算机、通信和其他电子设备制造业,"
               中金公司 
                               
          ",北京德和衡律师事务所,信永中和会计师事务所（特殊普通合伙）,2024/4/15,2023/6/26
166,江苏省建筑设计研究院股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003025,主板,终止(撤回),江苏,专业技术服务业,"
               广发证券 
                               
          ",国浩律师（南京）事务所,中天运会计师事务所（特殊普通合伙）,2024/4/12,2023/3/2
167,苏州杰锐思智能科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002350,创业板,终止(撤回),江苏,专用设备制造业,"
               东吴证券 
                               
          ",上海市锦天城律师事务所,立信会计师事务所（特殊普通合伙）,2024/4/11,2022/6/30
168,双登集团股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003452,创业板,终止(撤回),江苏,电气机械和器材制造业,"
               中金公司 
                               
          ",江苏泰和律师事务所,容诚会计师事务所,2024/4/9,2023/6/28
169,苏州速迈医学科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003425,创业板,终止(撤回),江苏,专用设备制造业,"
               海通证券 
                               
          ",北京植德律师事务所,大华会计师事务所（特殊普通合伙）,2024/4/4,2023/6/30
170,深圳市方向电子股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003449,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               申万宏源承销保荐 
                               
          ",北京植德律师事务所,大华会计师事务所（特殊普通合伙）,2024/4/4,2023/6/28
171,华艺生态园林股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003511,主板,终止(撤回),安徽,生态保护和环境治理业,浙商证券,安徽天禾律师事务所,中汇会计师事务所（特殊普通合伙）,2024/4/4,2023/6/30
172,洲宇设计集团股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002956,主板,终止(撤回),四川,专业技术服务业,"
               中信证券 
                               
          ",北京国枫律师事务所,中汇会计师事务所,2024/4/4,2023/3/1
173,深圳市皓吉达电子科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003642,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",北京市中伦律师事务所,大华会计师事务所(特殊普通合伙）,2024/4/4,2023/9/28
174,青岛大牧人机械股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002876,主板,终止(撤回),山东,专用设备制造业,"
               招商证券 
                               
          ",北京市金杜律师事务所,天健会计师事务所（特殊普通合伙）,2024/4/3,2023/3/1
175,伟本智能机电（上海）股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003353,创业板,终止(撤回),上海,专用设备制造业,"
               华安证券 
                               
          ",上海市锦天城律师事务所,立信会计师事务所（特殊普通合伙）,2024/4/2,2023/6/21
176,道尔道科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003501,主板,终止(撤回),江苏,专用设备制造业,"
               中金公司 
                               
          ",北京市金杜律师事务所,容诚会计师事务所（特殊普通合伙）,2024/3/31,2023/6/30
177,赣州水务股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003655,主板,终止(撤回),江西,水的生产和供应业,"
               申港证券 
                               
          ",北京市中伦律师事务所,中审众环会计师事务所（特殊普通合伙）,2024/3/26,2023/9/28
178,北京青牛技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003361,创业板,终止(撤回),北京,软件和信息技术服务业,"
               国投证券 
                               
          ",北京市通商律师事务所,大华会计师事务所（特殊普通合伙）,2024/3/21,2023/6/28
179,浙江海宏液压科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003322,创业板,终止(撤回),浙江,通用设备制造业,"
               西南证券 
                               
          ",北京市康达律师事务所,立信会计师事务所（特殊普通合伙）,2024/3/20,2023/6/20
180,贝利特化学股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003370,主板,终止(撤回),宁夏,化学原料和化学制品制造业,"
               海通证券 
                               
          ",上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2024/3/19,2023/6/26
181,天津望圆智能科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002984,主板,终止(撤回),天津,计算机、通信和其他电子设备制造业,中信建投,上海市锦天城律师事务所,信永中和会计师事务所（特殊普通合伙）,2024/3/15,2023/3/1
182,焦作卓立膜材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003356,创业板,终止(撤回),河南,计算机、通信和其他电子设备制造业,"
               民生证券 
                               
          ",北京市中伦律师事务所,容诚会计师事务所（特殊普通合伙）,2024/3/14,2023/6/30
183,浙江三方控制阀股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002291,创业板,终止(撤回),浙江,仪器仪表制造业,"
               财通证券 
                               
          ",上海市锦天城律师事务所,致同会计师事务所（特殊普通合伙）,2024/3/13,2022/6/29
184,深圳晶华显示电子股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003474,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               国金证券 
                               
          ",北京市中伦律师事务所,天健会计师事务所（特殊普通合伙）,2024/3/12,2023/6/29
185,四川里伍铜业股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003358,主板,终止(撤回),四川,有色金属矿采选业,"
               国金证券 
                               
          ",北京市金杜律师事务所,立信会计师事务所（特殊普通合伙）,2024/3/11,2023/6/29
186,深圳市亿联无限科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003371,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               国金证券 
                               
          ",北京国枫律师事务所,大华会计师事务所（特殊普通合伙）,2024/3/9,2023/6/28
187,广西北部湾陆海新能源股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003638,主板,终止(撤回),广西,电力、热力生产和供应业,"
               华泰联合 
                               
          ",国浩律师（北京）事务所,天健会计师事务所（特殊普通合伙）,2024/3/8,2023/9/22
188,陕西瑞科新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003334,创业板,终止(撤回),陕西,化学原料和化学制品制造业,"
               国信证券 
                               
          ",广东华商律师事务所,致同会计师事务所（特殊普通合伙）,2024/3/7,2023/6/29
189,常州晟威机电股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003435,创业板,终止(撤回),江苏,专用设备制造业,"
               海通证券 
                               
          ",江苏世纪同仁律师事务所,立信会计师事务所（特殊普通合伙）,2024/3/6,2023/6/27
190,四川恒邦能源股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002981,主板,终止(撤回),四川,燃气生产和供应业,"
               华西证券 
                               
          ",北京国枫律师事务所,四川华信（集团）会计师事务所（特殊普通合伙）,2024/3/5,2023/3/3
191,中鼎恒盛气体设备（芜湖）股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003231,创业板,终止(撤回),安徽,通用设备制造业,国泰君安,北京海润天睿律师事务所,容诚会计师事务所（特殊普通合伙）,2024/3/4,2023/5/8
192,东莞市思索技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003718,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               五矿证券 
                               
          ",广东法制盛邦律师事务所,容诚会计师事务所（特殊普通合伙）,2024/3/2,2023/12/28
193,深圳时代装饰股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002980,主板,终止(撤回),广东,建筑装饰、装修和其他建筑业,"
               招商证券 
                               
          ",广东信达律师事务所,立信会计师事务所（特殊普通合伙）,2024/3/1,2023/3/2
194,山东华菱电子股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003384,创业板,终止(撤回),山东,计算机、通信和其他电子设备制造业,"
               东兴证券 
                               
          ",上海市锦天城律师事务所,容诚会计师事务所（特殊普通合伙）,2024/2/29,2023/6/26
195,雅安百图高新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003469,创业板,终止(撤回),四川,非金属矿物制品业,"
               中金公司 
                               
          ",北京市海问律师事务所,信永中和会计师事务所（特殊普通合伙）,2024/2/28,2023/6/28
196,湖南晶讯光电股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003407,主板,终止(撤回),湖南,计算机、通信和其他电子设备制造业,"
               中信建投 
                               
          ",湖南启元律师事务所,天健会计师事务所（特殊普通合伙）,2024/2/26,2023/6/26
197,宁波博菱电器股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001383,创业板,终止(撤回),浙江,电气机械和器材制造业,"
               安信证券 
                               
          ",北京市中伦律师事务所,容诚会计师事务所（特殊普通合伙）,2024/2/21,2021/4/29
198,四川科瑞德制药股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002164,创业板,终止(撤回),四川,医药制造业,"
               广发证券 
                               
          ",北京市竞天公诚律师事务所,信永中和会计师事务所（特殊普通合伙）,2024/2/8,2022/6/6
199,上海新研工业设备股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003316,创业板,终止(撤回),上海,通用设备制造业,"
               长江承销 
                               
          ",北京德恒律师事务所,中审众环会计师事务所（特殊普通合伙）,2024/2/7,2023/6/9
200,珠海精实测控技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003494,创业板,终止(撤回),广东,专用设备制造业,"
               华泰联合 
                               
          ",国浩律师（广州）事务所,容诚会计师事务所（特殊普通合伙）,2024/2/5,2023/6/29
201,河南国容电子科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003249,主板,终止(撤回),河南,计算机、通信和其他电子设备制造业,中原证券,北京市中伦律师事务所,信永中和会计师事务所（特殊普通合伙）,2024/2/2,2023/5/19
202,深圳市大族封测科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002484,创业板,终止(撤回),广东,专用设备制造业,"
               中信证券 
                               
          ",北京市君合律师事务所,容诚会计师事务所（特殊普通合伙）,2024/1/31,2022/9/28
203,成都欣捷高新技术开发股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003456,创业板,终止(撤回),四川,医药制造业,"
               中信建投 
                               
          ",上海东方华银律师事务所,天健会计师事务所（特殊普通合伙）,2024/1/19,2023/6/28
204,山西凝固力新型材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002599,创业板,终止(撤回),山西,非金属矿物制品业,"
               五矿证券 
                               
          ",北京市盈科律师事务所,中审众环会计师事务所(特殊普通合伙),2024/1/18,2022/12/27
205,赣州吉锐新能源科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003224,创业板,终止(撤回),江西,废弃资源综合利用业,"
               民生证券 
                               
          ",上海泽昌律师事务所,容诚会计师事务所（特殊普通合伙）,2024/1/17,2023/5/8
206,成都市汉桐集成技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003463,创业板,终止(撤回),四川,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",北京市中伦律师事务所,中汇会计师事务所（特殊普通合伙）,2024/1/15,2023/6/28
207,深圳博纳精密给药系统股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003434,创业板,终止(撤回),广东,医药制造业,"
               中信证券 
                               
          ",广东信达律师事务所,信永中和会计师事务所（特殊普通合伙）,2024/1/8,2023/6/28
208,辉芒微电子（深圳）股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003267,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",上海市锦天城律师事务所,大华会计师事务所（特殊普通合伙）,2024/1/5,2023/5/25
209,江阴润玛电子材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002195,创业板,终止(撤回),江苏,计算机、通信和其他电子设备制造业,"
               申万宏源承销保荐 
                               
          ",北京德恒律师事务所,天健会计师事务所（特殊普通合伙）,2024/1/2,2022/6/21
210,瑞博奥（广州）生物科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001891,创业板,终止(撤回),广东,研究和试验发展,"
               中信证券 
                               
          ",北京市中伦律师事务所,天健会计师事务所（特殊普通合伙）,2023/12/31,2021/12/21
211,新疆蓝山屯河科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002261,创业板,终止(撤回),新疆,化学原料和化学制品制造业,银河证券,北京德恒律师事务所,中审众环会计师事务所（特殊普通合伙）,2023/12/31,2022/6/27
212,嘉兴凯实生物科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001962,创业板,终止(撤回),浙江,专用设备制造业,"
               中信证券 
                               
          ",国浩律师（杭州）事务所,立信会计师事务所（特殊普通合伙）,2023/12/31,2021/12/29
213,上海紫江新材料科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002328,创业板,终止(撤回),上海,计算机、通信和其他电子设备制造业,"
               安信证券 
                               
          ",国浩律师（上海）事务所,立信会计师事务所（特殊普通合伙）,2023/12/30,2022/6/30
214,浙江野风药业股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003251,创业板,终止(撤回),浙江,医药制造业,"
               安信证券 
                               
          ",上海市锦天城律师事务所,中汇会计师事务所（特殊普通合伙）,2023/12/30,2023/5/24
215,芯天下技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002094,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               中信建投 
                               
          ",北京市君泽君律师事务所,大华会计师事务所（特殊普通合伙）,2023/12/30,2022/4/28
216,幺麻子食品股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002990,主板,终止(撤回),四川,食品制造业,"
               中金公司 
                               
          ",北京市君合律师事务所,天职国际会计师事务所(特殊普通合伙),2023/12/30,2023/3/3
217,苏州鲜活饮品股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002986,主板,终止(撤回),江苏,酒、饮料和精制茶制造业,"
               长江承销 
                               
          ",上海市锦天城律师事务所,大华会计师事务所（特殊普通合伙）,2023/12/29,2023/3/3
218,华智机器股份公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003470,主板,终止(撤回),广东,电气机械和器材制造业,"
               民生证券 
                               
          ",广东信达律师事务所,大华会计师事务所（特殊普通合伙）,2023/12/28,2023/6/29
219,北京思睦瑞科医药科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002218,创业板,终止(撤回),北京,研究和试验发展,"
               中信证券 
                               
          ",北京植德律师事务所,立信会计师事务所（特殊普通合伙）,2023/12/28,2022/6/23
220,河南省城乡规划设计研究总院股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003458,创业板,终止(撤回),河南,专业技术服务业,"
               安信证券 
                               
          ",北京市康达律师事务所,立信会计师事务所（特殊普通合伙）,2023/12/28,2023/6/28
221,浙江德馨食品科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002978,主板,终止(撤回),浙江,酒、饮料和精制茶制造业,安信证券,国浩律师（杭州）事务所,天健会计师事务所（特殊普通合伙）,2023/12/27,2023/3/2
222,贵州黔通智联科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001979,创业板,终止(撤回),贵州,软件和信息技术服务业,"
               广发证券 
                               
          ",北京国枫律师事务所,大华会计师事务所（特殊普通合伙）,2023/12/27,2021/12/31
223,浙江湃肽生物股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003465,创业板,终止(撤回),浙江,医药制造业,"
               华泰联合 
                               
          ",上海市锦天城律师事务所,中汇会计师事务所（特殊普通合伙）,2023/12/27,2023/6/28
224,河南正佳能源环保股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002795,主板,终止(撤回),河南,化学原料和化学制品制造业,"
               国金证券 
                               
          ",北京市康达律师事务所,信永中和会计师事务所（特殊普通合伙）,2023/12/26,2023/3/3
225,浙江伯特利科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002801,主板,终止(撤回),浙江,通用设备制造业,"
               海通证券 
                               
          ",北京大成律师事务所,天健会计师事务所（特殊普通合伙）,2023/12/26,2023/3/2
226,南通冠优达磁业股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002205,创业板,终止(撤回),江苏,计算机、通信和其他电子设备制造业,"
               东吴证券 
                               
          ",上海市锦天城律师事务所,容诚会计师事务所（特殊普通合伙）,2023/12/25,2022/6/15
227,深圳市爱贝科精密工业股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003457,创业板,终止(撤回),广东,通用设备制造业,"
               国信证券 
                               
          ",国浩律师（深圳）事务所,致同会计师事务所（特殊普通合伙）,2023/12/25,2023/6/28
228,美智光电科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003191,创业板,终止(撤回),江西,电气机械和器材制造业,"
               中信证券 
                               
          ",北京市嘉源律师事务所,容诚会计师事务所（特殊普通合伙）,2023/12/23,2023/4/19
229,浙江城建煤气热电设计院股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002883,主板,终止(撤回),浙江,专业技术服务业,"
               财通证券 
                               
          ",国浩律师（杭州）事务所,中汇会计师事务所 （特殊普通合伙）,2023/12/22,2023/3/2
230,浙江高信技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003408,创业板,终止(撤回),浙江,软件和信息技术服务业,"
               中信建投 
                
                      浙商证券 
                               
          ",北京市金杜律师事务所,天健会计师事务所（特殊普通合伙）,2023/12/21,2023/6/26
231,四川白家阿宽食品产业股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003004,主板,终止(撤回),四川,食品制造业,广发证券,北京市中伦律师事务所,大华会计师事务所（特殊普通合伙）,2023/12/19,2023/3/1
232,东莞优邦材料科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003368,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               华泰联合 
                               
          ",上海市通力律师事务所,立信会计师事务所（特殊普通合伙）,2023/12/18,2023/9/6
233,明喆集团股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003319,主板,终止(撤回),广东,房地产业,"
               长江承销 
                               
          ",北京市金杜律师事务所,中汇会计师事务所（特殊普通合伙）,2023/12/15,2023/6/26
234,上海国创医药股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002581,创业板,终止(撤回),上海,医药制造业,"
               民生证券 
                               
          ",上海市锦天城律师事务所,容诚会计师事务所（特殊普通合伙）,2023/12/14,2022/12/27
235,彩虹集团新能源股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001937,创业板,终止(撤回),陕西,非金属矿物制品业,"
               国泰君安 
                               
          ",上海市方达律师事务所,立信会计师事务所（特殊普通合伙）,2023/12/13,2021/12/28
236,浙江佑威新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003306,主板,终止(撤回),浙江,橡胶和塑料制品业,"
               安信证券 
                               
          ",上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2023/12/12,2023/6/8
237,山东益大新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002576,创业板,终止(撤回),山东,非金属矿物制品业,"
               中德证券 
                               
          ",北京市中伦律师事务所,致同会计师事务所（特殊普通合伙）,2023/12/9,2022/12/22
238,科凡家居股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002975,主板,终止(撤回),广东,家具制造业,"
               国泰君安 
                               
          ",上海市锦天城律师事务所,华兴会计师事务所（特殊普通合伙）,2023/12/8,2023/3/3
239,深圳矽递科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002591,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               广发证券 
                               
          ",北京市金杜律师事务所,中审众环会计师事务所（特殊普通合伙）,2023/12/6,2023/2/15
240,广州尚航信息科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003044,主板,终止(撤回),广东,互联网和相关服务,"
               国泰君安 
                               
          ",北京市中伦律师事务所,大华会计师事务所（特殊普通合伙）,2023/12/5,2023/3/2
241,广州腾龙健康实业股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002841,主板,终止(撤回),广东,电气机械和器材制造业,国信证券,北京市中伦律师事务所,天健会计师事务所（特殊普通合伙）,2023/12/1,2023/3/2
242,宁波华瓷通信技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003386,创业板,终止(撤回),浙江,计算机、通信和其他电子设备制造业,"
               东吴证券 
                               
          ",江苏世纪同仁律师事务所,容诚会计师事务所（特殊普通合伙）,2023/11/29,2023/6/28
