公司名称,链接,申报稿,上会稿,注册稿
美智光电科技股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003191,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202307/RAS_202307_EDD46B379FA64217A57E6D3532420FC7.pdf,--,--
江苏米格新材料股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003309,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_C53C361E07AD44D0BEC0876A64DB0330.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202401/RAS_202401_191715B7FE42F097554F22BCA7040EB0A23270.pdf,--
长春海谱润斯科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003132,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202408/RAS_202408_011745C817E1BDB5484255887FD13AFB03EC3D.pdf,--,--
筠诚和瑞环境科技集团股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002279,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202307/RAS_202307_8AEF75402493489EAACFC514634B0F9D.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202308/RAS_202308_5F41A83BE2D445849EE68F951B454E1D.pdf,--
浙江科峰有机硅股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002361,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202305/RAS_202305_141BA8B8637045EA8BA36DC3868386C5.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202306/RAS_202306_259CA021E30945EA909384411175D2D6.pdf,--
杭州衡泰技术股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002302,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202212/RAS_202212_000184BC8B45503FE275BCD99181D93F.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202304/RAS_202304_5DB8F37091734DC5B33A9A61FF07A3F0.pdf,--
芜湖佳宏新材料股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002325,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202302/RAS_202302_F7CA08DA7F744CDCAC8681D7F85C627D.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202304/RAS_202304_BB9CCC8F4FE149F996982B744EE605ED.pdf,--
山东泰丰智能控制股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002264,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_3D5F699E8DED497989EA685597D50DFF.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202305/RAS_202305_14AE2EA0EB6C4D3AB25D9EEC7E94C882.pdf,--
北京天助畅运医疗技术股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002174,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_7F1CA467C0E64566B307E2FA2CA3FA76.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202306/RAS_202306_B546104BCC8E47E1A696BB3D72CE1B1D.pdf,--
深圳市鑫信腾科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002281,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202304/RAS_202304_E333BA84EA304D248733EE04B004FD58.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202305/RAS_202305_EA8F9B03F9DF495AB9CE63923299654E.pdf,--
江西施美药业股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003205,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_292230FC937ADAD7204A91BE5592ECE803D1F1.pdf,--,--
广州致远电子股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003342,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_2920451C03E47B5AA040138B7CACA99D667320.pdf,--,--
扬州万方科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002216,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_8625B763644C4B95BE713F6FAF4E68DD.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202305/RAS_202305_7F1620B5ACB64EB7B932FA0C3E99859A.pdf,--
成都万创科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002169,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202302/RAS_202302_B862BCF3A4954B4288111DEB6988D363.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202307/RAS_202307_2FEB7FCDD24D4AC3928D6495F6183EB7.pdf,--
日日顺供应链科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001406,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202211/RAS_202211_000184130DF3923FD24942A74DABBC3F.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202305/RAS_202305_65EA4DA59BBA48B89FB82C58BF570464.pdf,--
上海龙创汽车设计股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003364,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202408/RAS_202408_061500F1CB5AD319704CCC8CB65E586517C792.pdf,--,--
江苏知原药业股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003162,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_3000058B49907146424563AC118D4F3481508E.pdf,--,--
苏州嘉诺环境科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002309,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202304/RAS_202304_59F2346EA75E49D2852A6D89295515AE.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202305/RAS_202305_CD9A998320C741C48E249E7EBCD03567.pdf,--
安徽久易农业股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002278,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202301/RAS_202301_98D218BED6DC400DAFE9C101AF47F1BA.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_8D6C48EBFEFC4D4EBC6010DC1A6FF699.pdf,--
上海汉兴能源科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003404,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_292255DA46E01D634540D0BB16887B82D5C74F.pdf,--,--
上海盛普流体设备股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002294,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202211/RAS_202211_000184A36202AF3FB33877DC19F6A03F.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202301/RAS_202301_39E98616C6114906AFBF0D26A4A0318A.pdf,--
