公司名称,板块,审核状态,地区,行业,保荐机构,律师事务所,会计师事务所,受理日期,更新日期,链接
江苏风和医疗器材股份有限公司,科创板,终止,江苏,专用设备制造业,中国国际金融股份有限公司,北京市中伦律师事务所,立信会计师事务所（特殊普通合伙）,2024-08-23,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1998
硅谷数模（苏州）半导体股份有限公司,科创板,终止,江苏,计算机、通信和其他电子设备制造业,中信建投证券股份有限公司,北京市君合律师事务所,信永中和会计师事务所（特殊普通合伙）,2024-08-09,2023-05-31,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1817
湖南星邦智能装备股份有限公司,主板,终止,湖南,专用设备制造业,华泰联合证券有限责任公司,湖南启元律师事务所,天职国际会计师事务所（特殊普通合伙）,2024-08-07,2023-03-04,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1693
江苏宝众宝达药业股份有限公司,主板,终止,江苏,化学原料和化学制品制造业,中信建投证券股份有限公司,上海市锦天城律师事务所,容诚会计师事务所（特殊普通合伙）,2024-08-06,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=2002
江苏中法水务股份有限公司,主板,终止,江苏,水的生产和供应业,东吴证券股份有限公司,北京德恒律师事务所,中审众环会计师事务所（特殊普通合伙）,2024-07-29,2023-03-03,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1717
浙江欣兴工具股份有限公司,主板,终止,浙江,金属制品业,华泰联合证券有限责任公司,上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2024-07-19,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1999
杭州中欣晶圆半导体股份有限公司,科创板,终止,浙江,计算机、通信和其他电子设备制造业,海通证券股份有限公司,国浩律师（杭州）事务所,天健会计师事务所（特殊普通合伙）,2024-07-03,2022-08-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1309
深圳尚阳通科技股份有限公司,科创板,终止,广东,计算机、通信和其他电子设备制造业,申万宏源证券承销保荐有限责任公司,国浩律师（上海）事务所,大华会计师事务所（特殊普通合伙）,2024-07-03,2023-05-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1813
飞潮（上海）新材料股份有限公司,科创板,终止,上海,专用设备制造业,国金证券股份有限公司,北京市安理律师事务所,大信会计师事务所（特殊普通合伙）,2024-07-03,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1991
沃太能源股份有限公司,科创板,终止,江苏,电气机械和器材制造业,中信证券股份有限公司,国浩律师（苏州）事务所,容诚会计师事务所（特殊普通合伙）,2024-07-02,2022-12-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1427
北京晶亦精微科技股份有限公司,科创板,终止,北京,专用设备制造业,中信证券股份有限公司,北京市中伦律师事务所,大华会计师事务所（特殊普通合伙）,2024-07-02,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1976
四川凤生纸业科技股份有限公司,主板,终止,四川,造纸和纸制品业,民生证券股份有限公司,上海市锦天城律师事务所,大信会计师事务所（特殊普通合伙）,2024-07-02,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1895
上海联适导航技术股份有限公司,科创板,终止,上海,计算机、通信和其他电子设备制造业,国金证券股份有限公司,上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2024-07-01,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1896
宁波伏尔肯科技股份有限公司,科创板,终止,浙江,非金属矿物制品业,华泰联合证券有限责任公司,上海兰迪律师事务所,立信会计师事务所（特殊普通合伙）,2024-07-01,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1953
江苏金陵环境股份有限公司,主板,终止,江苏,水的生产和供应业,中信建投证券股份有限公司,上海市锦天城律师事务所,天职国际会计师事务所（特殊普通合伙）,2024-06-30,2023-03-03,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1658
江苏新扬新材料股份有限公司,科创板,终止,江苏,铁路、船舶、航空航天和其他运输设备制造业,国金证券股份有限公司,北京德恒律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-30,2023-05-22,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1807
重庆润际远东新材料科技股份有限公司,主板,终止,重庆,金属制品业,长江证券承销保荐有限公司,上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-30,2023-03-02,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1495
武汉长利新材料科技股份有限公司,主板,终止,湖北,非金属矿物制品业,兴业证券股份有限公司,上海市锦天城律师事务所,容诚会计师事务所（特殊普通合伙）,2024-06-29,2023-03-04,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1502
长风药业股份有限公司,科创板,终止,江苏,医药制造业,中信证券股份有限公司,北京市中伦律师事务所,安永华明会计师事务所（特殊普通合伙）,2024-06-29,2023-06-09,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1834
北京城建设计发展集团股份有限公司,主板,终止,北京,专业技术服务业,中信证券股份有限公司,北京市嘉源律师事务所,大华会计师事务所（特殊普通合伙）,2024-06-28,2023-12-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=2032
华宝证券股份有限公司,主板,终止,上海,资本市场服务,中国国际金融股份有限公司,北京市金杜律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-28,2023-03-04,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1716
山东华光光电子股份有限公司,科创板,终止,山东,计算机、通信和其他电子设备制造业,信达证券股份有限公司,北京市君致律师事务所,和信会计师事务所(特殊普通合伙),2024-06-27,2023-06-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1902
湖南五新智能科技股份有限公司,主板,终止,湖南,专用设备制造业,中信证券股份有限公司,湖南启元律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-27,2023-12-26,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=2024
博创智能装备股份有限公司,科创板,终止,广东,专用设备制造业,国金证券股份有限公司,北京金诚同达律师事务所,天职国际会计师事务所（特殊普通合伙）,2024-06-27,2022-06-08,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1176
山东绿霸化工股份有限公司,主板,终止,山东,化学原料和化学制品制造业,民生证券股份有限公司,北京市康达律师事务所,上会会计师事务所（特殊普通合伙）,2024-06-27,2023-03-01,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1468
福建海电运维科技股份有限公司,主板,终止,福建,专业技术服务业,中信建投证券股份有限公司,福建至理律师事务所,华兴会计师事务所（特殊普通合伙）,2024-06-27,2023-06-20,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1859
北京华卓精科科技股份有限公司,科创板,终止,北京,专用设备制造业,东兴证券股份有限公司,北京市邦盛律师事务所,大华会计师事务所（特殊普通合伙）,2024-06-26,2020-06-24,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=571
地通工业控股集团股份有限公司,主板,终止,湖南,汽车制造业,招商证券股份有限公司,上海市锦天城律师事务所,中汇会计师事务所（特殊普通合伙）,2024-06-26,2023-06-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1886
江苏海安农村商业银行股份有限公司,主板,终止,江苏,货币金融服务,国泰君安证券股份有限公司,北京市炜衡律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-26,2023-03-03,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1671
渔翁信息技术股份有限公司,科创板,终止,山东,计算机、通信和其他电子设备制造业,西部证券股份有限公司,北京德恒律师事务所,天职国际会计师事务所（特殊普通合伙）,2024-06-26,2022-12-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1401
上海欣诺通信技术股份有限公司,科创板,终止,上海,计算机、通信和其他电子设备制造业,国泰君安证券股份有限公司,北京市君泽君律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-25,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1959
浙江亚通新材料股份有限公司,科创板,终止,浙江,金属制品业,海通证券股份有限公司,北京市金杜律师事务所,大华会计师事务所（特殊普通合伙）,2024-06-25,2023-06-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1871
西藏阜康医疗股份有限公司,主板,终止,西藏,卫生,国金证券股份有限公司,北京国枫律师事务所,大信会计师事务所（特殊普通合伙）,2024-06-25,2023-02-28,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1576
兆讯恒达科技股份有限公司,科创板,终止,北京,计算机、通信和其他电子设备制造业,国泰君安证券股份有限公司,北京市中伦律师事务所,容诚会计师事务所（特殊普通合伙）,2024-06-24,2023-06-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1921
赞同科技股份有限公司,主板,终止,上海,软件和信息技术服务业,中信建投证券股份有限公司,上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-24,2023-02-28,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1541
广东德聚技术股份有限公司,科创板,终止,广东,计算机、通信和其他电子设备制造业,中信证券股份有限公司,广东华商律师事务所,大华会计师事务所（特殊普通合伙）,2024-06-24,2023-12-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=2033
